         time                    omegax                   omegay                   omegaz                     bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 3.300000000000000e-01    1.989349952459446e+00    4.548144427077530e-02    3.141592653589793e+02    7.345664029115322e-02    1.650715736197596e-02    9.971617901586745e-01    3.264620085652352e-01   -9.451729759300445e-01   -8.402531431447766e-03    9.423516747799068e-01    3.261526626093065e-01   -7.481819105426392e-02
 3.400000000000000e-01   -1.979451259910168e+00   -1.410781904550062e-01    3.141592653589793e+02   -7.258044504453162e-02   -1.619241825184029e-02   -9.972311089149650e-01   -3.451044113790727e-01    9.385123134291775e-01    9.878400065163965e-03    9.357537198663014e-01    3.448658335248017e-01   -7.370571635842293e-02
 3.500000000000000e-01    1.960240017865811e+00    2.352580270843560e-01    3.141592653589793e+02    7.082514613973317e-02    1.552407842380784e-02    9.973679369534806e-01    3.634775412584518e-01   -9.315342815150528e-01   -1.131191240417765e-02    9.289068175413212e-01    3.633220133037967e-01   -7.161870547861482e-02
 3.600000000000000e-01   -1.931901862309316e+00   -3.271235546688053e-01    3.141592653589793e+02   -6.822143682116966e-02   -1.447465784470743e-02   -9.975651957831072e-01   -3.814934851074726e-01    9.242845795939109e-01    1.267819958512052e-02    9.218506150013300e-01    3.814295481540430e-01   -6.857800971880772e-02
 3.700000000000001e-01    1.894710368416371e+00    4.158004017671731e-01    3.141592653589793e+02    6.480824933166476e-02    1.302234042133302e-02    9.978127627305440e-01    3.990693137606605e-01   -9.168145704508620e-01   -1.395443380498723e-02    9.146275600663109e-01    3.991008169106871e-01   -6.461396372851801e-02
 3.800000000000000e-01   -1.849024176571814e+00   -5.004458614505778e-01    3.141592653589793e+02   -6.063206308732437e-02   -1.115174553679303e-02   -9.980978867309009e-01   -4.161279087843521e-01    9.091803637419943e-01    1.512050647043109e-02    9.072823796680943e-01    4.162531738705417e-01   -5.976603372200814e-02
 3.900000000000000e-01    1.795283240355545e+00    5.802571619903335e-01    3.141592653589793e+02    5.574613724711115e-02    8.854549753465720e-03    9.984057116874451e-01    4.325986708235623e-01   -9.014417657857610e-01   -1.615960698432864e-02    8.998615216706110e-01    4.328098194883893e-01   -5.408236285017592e-02
 4.000000000000000e-01   -1.734004246919540e+00   -6.544792799324215e-01    3.141592653589793e+02   -5.020968738910397e-02   -6.129938920242307e-03   -9.987198862246288e-01   -4.484181026900107e-01    8.936611251239321e-01    1.705868169683736e-02    8.924125685308253e-01    4.487005875758772e-01   -4.761922130478938e-02
 4.100000000000000e-01    1.665775270439951e+00    7.224122113073099e-01    3.141592653589793e+02    4.408702629729473e-02    2.984876701985360e-03    9.990232352767056e-01    4.635302641977358e-01   -8.859021065181619e-01   -1.780875735537594e-02    8.849836316478493e-01    4.638626393423497e-01   -4.044037015345003e-02
 4.200000000000000e-01   -1.591249728303926e+00   -7.834176255199999e-01    3.141592653589793e+02   -3.744668842362595e-02    5.658182251007675e-04   -9.992984666130671e-01   -4.778870994831483e-01    8.782284280012944e-01    1.840511877182258e-02    8.776227353898914e-01    4.782410564767721e-01   -3.261634907797697e-02
 4.300000000000000e-01    1.511139717231111e+00    8.369248362300826e-01    3.141592653589793e+02    3.036055646283831e-02   -4.499587661842015e-03    9.995288841857034e-01    4.914486410452252e-01   -8.707025962599212e-01   -1.884733615255430e-02    8.703771997390491e-01    4.917893274330280e-01   -2.422369909466564e-02
 4.400000000000001e-01   -1.426208812530943e+00   -8.824360340132430e-01    3.141592653589793e+02   -2.290300673477409e-02    8.786437083315479e-03   -9.996990801262424e-01   -5.041830978723427e-01    8.633846749915468e-01    1.913914336037486e-02    8.632930302636792e-01    5.044697230885715e-01   -1.534413195834016e-02
 4.500000000000000e-01    1.337264418105698e+00    9.195307365307086e-01    3.141592653589793e+02    1.515008780886231e-02   -1.338941558027553e-02    9.997955783004639e-01    5.160668376692230e-01   -8.563311190180416e-01   -1.928817405423286e-02    8.564143237340985e-01    5.162535599409274e-01   -6.063658290047639e-03
 4.600000000000000e-01   -1.245149757619525e+00   -9.478694230597091e-01    3.141592653589793e+02   -7.178744147734738e-03    1.826525615459365e-02   -9.998074044781893e-01   -5.270842752706234e-01    8.495937039593607e-01    1.930556795266606e-02    8.497826971610670e-01    5.271213509337208e-01    3.528313472430477e-03
