         time                     bimag                    bjmag                    bkmag                    bibj                     bkbi                     bjbk                     epum
 8.200000000000001e-01    9.999999999994331e-01    9.999999999991140e-01    1.000000000000347e+00   -1.441832764292883e-13    1.469727117786590e-13    7.128856966548414e-13    1.543404844353966e+03
 8.300000000000001e-01    9.999999999994255e-01    9.999999999990989e-01    1.000000000000356e+00   -1.521838211004933e-13   -1.446291003626143e-13   -7.067680045814290e-13    1.543404844353966e+03
 8.400000000000001e-01    9.999999999994168e-01    9.999999999990837e-01    1.000000000000367e+00   -1.614854083786810e-13    1.421870433893080e-13    6.976319681987163e-13    1.543404844353965e+03
 8.500000000000001e-01    9.999999999994088e-01    9.999999999990680e-01    1.000000000000379e+00   -1.696403434392479e-13   -1.395723814301419e-13   -6.882995692500393e-13    1.543404844353965e+03
 8.600000000000001e-01    9.999999999993996e-01    9.999999999990532e-01    1.000000000000392e+00   -1.788274389680211e-13    1.363804902343446e-13    6.787651495553104e-13    1.543404844353965e+03
 8.700000000000001e-01    9.999999999993908e-01    9.999999999990355e-01    1.000000000000404e+00   -1.863335874485728e-13   -1.334314603251840e-13   -6.695783792871890e-13    1.543404844353965e+03
 8.800000000000001e-01    9.999999999993842e-01    9.999999999990165e-01    1.000000000000415e+00   -1.942543348398829e-13    1.293895546261581e-13    6.575395609942358e-13    1.543404844353965e+03
 8.900000000000001e-01    9.999999999993777e-01    9.999999999989992e-01    1.000000000000428e+00   -2.012435357245934e-13   -1.249347847398496e-13   -6.443900317856799e-13    1.543404844353965e+03
 9.000000000000000e-01    9.999999999993713e-01    9.999999999989815e-01    1.000000000000441e+00   -2.097159251812641e-13    1.201955202034810e-13    6.266124771836523e-13    1.543404844353965e+03
 9.100000000000000e-01    9.999999999993646e-01    9.999999999989636e-01    1.000000000000451e+00   -2.155567391248780e-13   -1.137007155094238e-13   -6.100934644634459e-13    1.543404844353964e+03
 9.200000000000000e-01    9.999999999993565e-01    9.999999999989432e-01    1.000000000000461e+00   -2.192204751061411e-13    1.079622502508926e-13    5.926449652207677e-13    1.543404844353964e+03
 9.300000000000000e-01    9.999999999993496e-01    9.999999999989246e-01    1.000000000000472e+00   -2.232450335704073e-13   -1.017241846312800e-13   -5.740555600319830e-13    1.543404844353964e+03
 9.400000000000001e-01    9.999999999993453e-01    9.999999999989084e-01    1.000000000000483e+00   -2.273979615718957e-13    9.531264666406969e-14    5.513929157013875e-13    1.543404844353964e+03
 9.500000000000001e-01    9.999999999993375e-01    9.999999999988923e-01    1.000000000000493e+00   -2.324633541217480e-13   -8.874845303097345e-14   -5.263597717408697e-13    1.543404844353964e+03
 9.600000000000001e-01    9.999999999993299e-01    9.999999999988770e-01    1.000000000000504e+00   -2.336360271915083e-13    8.310019339319297e-14    4.987911125797773e-13    1.543404844353964e+03
 9.700000000000001e-01    9.999999999993243e-01    9.999999999988614e-01    1.000000000000514e+00   -2.365919959945728e-13   -7.735478924075778e-14   -4.735467660360593e-13    1.543404844353964e+03
 9.800000000000001e-01    9.999999999993180e-01    9.999999999988440e-01    1.000000000000521e+00   -2.376016050575913e-13    7.185918526886326e-14    4.465050291307948e-13    1.543404844353964e+03
 9.900000000000001e-01    9.999999999993106e-01    9.999999999988297e-01    1.000000000000530e+00   -2.387950948090634e-13   -6.668277041654846e-14   -4.197033345865187e-13    1.543404844353964e+03
 1.000000000000000e+00    9.999999999993043e-01    9.999999999988151e-01    1.000000000000537e+00   -2.399816456666315e-13    6.250555628639631e-14    3.909240552796289e-13    1.543404844353964e+03
 1.010000000000000e+00    9.999999999992969e-01    9.999999999988016e-01    1.000000000000545e+00   -2.401898124837487e-13   -5.895284260759581e-14   -3.618650518122379e-13    1.543404844353964e+03
