         time                     bimag                    bjmag                    bkmag                    bibj                     bkbi                     bjbk                     epum
 5.700000000000001e-01    9.999999999996193e-01    9.999999999996039e-01    1.000000000000009e+00   -1.564720575331080e-15    5.176414852314792e-15   -2.471764112832453e-15    1.543404844354053e+03
 5.800000000000001e-01    9.999999999996126e-01    9.999999999995984e-01    1.000000000000008e+00   -3.046174423815273e-15    5.398459457239824e-15   -3.287300986976049e-16    1.543404844354049e+03
 5.900000000000001e-01    9.999999999996058e-01    9.999999999995910e-01    1.000000000000009e+00   -4.595282487862562e-15    4.510281037539698e-15    8.985867605559861e-16    1.543404844354056e+03
 6.000000000000001e-01    9.999999999996002e-01    9.999999999995829e-01    1.000000000000010e+00   -3.563122019656362e-15    6.689093723366568e-15   -1.006139616066548e-16    1.543404844354056e+03
 6.100000000000001e-01    9.999999999995941e-01    9.999999999995749e-01    1.000000000000009e+00   -2.905661822261152e-15    6.591949208711867e-15   -1.559950085772144e-15    1.543404844354053e+03
 6.200000000000000e-01    9.999999999995881e-01    9.999999999995691e-01    1.000000000000009e+00   -3.316791286067655e-15    5.939693181744587e-15   -1.010042743887496e-15    1.543404844354057e+03
 6.300000000000000e-01    9.999999999995817e-01    9.999999999995622e-01    1.000000000000010e+00   -4.862429903162990e-15    4.968248035197576e-15   -3.833738881908744e-16    1.543404844354062e+03
 6.400000000000000e-01    9.999999999995742e-01    9.999999999995537e-01    1.000000000000008e+00   -4.881511861398735e-15    7.660538869913580e-15    8.988036009904832e-16    1.543404844354061e+03
 6.500000000000000e-01    9.999999999995681e-01    9.999999999995458e-01    1.000000000000009e+00   -5.584074869169342e-15    9.631184738623233e-15    6.797947621484113e-16    1.543404844354062e+03
 6.600000000000000e-01    9.999999999995610e-01    9.999999999995397e-01    1.000000000000006e+00   -6.055919654635034e-15    1.063038546078587e-14    8.085979802396892e-16    1.543404844354054e+03
 6.700000000000000e-01    9.999999999995549e-01    9.999999999995337e-01    1.000000000000005e+00   -5.011616122096996e-15    1.115774139748282e-14   -5.143455106271233e-16    1.543404844354054e+03
 6.800000000000000e-01    9.999999999995474e-01    9.999999999995268e-01    1.000000000000005e+00   -5.844283390565863e-15    1.292022044907526e-14    2.367897544708342e-16    1.543404844354054e+03
 6.900000000000001e-01    9.999999999995405e-01    9.999999999995189e-01    1.000000000000006e+00   -5.984795992119984e-15    1.221245327087672e-14   -8.222589276130066e-16    1.543404844354060e+03
 7.000000000000001e-01    9.999999999995347e-01    9.999999999995131e-01    1.000000000000007e+00   -5.752343046339092e-15    1.089406342913435e-14   -4.766152750246277e-16    1.543404844354062e+03
 7.100000000000001e-01    9.999999999995292e-01    9.999999999995063e-01    1.000000000000008e+00   -6.146125275385828e-15    1.249000902703301e-14   -1.518533562783198e-15    1.543404844354063e+03
