         time                    bomegax                  bomegay                  bomegaz                    bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 4.100000000000000e-01    2.784341065778042e+02    1.450917316319676e+02   -1.105343402780710e+01    4.408702625098371e-02    2.984876689823567e-03    9.990232352788107e-01    4.635302641824385e-01   -8.859021065265998e-01   -1.780875734380365e-02    8.849836316583470e-01    4.638626393259604e-01   -4.044037010684902e-02
 4.200000000000000e-01    2.761472860257244e+02    1.495549389731676e+02   -8.671013731267687e+00   -3.744668837583073e-02    5.658182379212548e-04   -9.992984666148773e-01   -4.778870994649898e-01    8.782284280116509e-01    1.840511875939363e-02    8.776227354020103e-01    4.782410564573729e-01   -3.261634903002202e-02
 4.300000000000000e-01    2.738942462756671e+02    1.537646616771216e+02   -6.115445505117752e+00    3.036055641374338e-02   -4.499587675198421e-03    9.995288841871597e-01    4.914486410240747e-01   -8.707025962723728e-01   -1.884733613930773e-02    8.703771997529046e-01    4.917893274104879e-01   -2.422369904558825e-02
 4.400000000000001e-01    2.716890779853888e+02    1.577094245507070e+02   -3.411610640103950e+00   -2.290300668458133e-02    8.786437097060760e-03   -9.996990801272944e-01   -5.041830978480880e-01    8.633846750062588e-01    1.913914334635838e-02    8.632930302793906e-01    5.044697230627671e-01   -1.534413190839997e-02
 4.500000000000000e-01    2.695452937853983e+02    1.613805111471297e+02   -5.856994349650130e-01    1.515008775778324e-02   -1.338941559424171e-02    9.997955783010735e-01    5.160668376417706e-01   -8.563311190351676e-01   -1.928817403950642e-02    8.564143237517701e-01    5.162535599117692e-01   -6.063658239513128e-03
 4.600000000000000e-01    2.674756535404565e+02    1.647720094807871e+02    2.335063173811318e+00   -7.178744095998938e-03    1.826525616859925e-02   -9.998074044783264e-01   -5.270842752398980e-01    8.495937039790334e-01    1.930556793730975e-02    8.497826971808020e-01    5.271213509011242e-01    3.528313523260941e-03
 4.700000000000000e-01    2.654919989040187e+02    1.678808240510206e+02    5.322697244306322e+00   -9.339064282404225e-04   -2.336515532656597e-02    9.997265612829948e-01    5.372276807328311e-01   -8.432185773569596e-01   -1.920546416721131e-02    8.434367474049466e-01    5.370628457789809e-01    1.333989545586840e-02
 4.800000000000000e-01    2.636050991195955e+02    1.707066552609380e+02    8.348749235379845e+00    9.111235336355753e-03    2.863566716552598e-02   -9.995483900021990e-01   -5.464969216029670e-01    8.372454522771622e-01    1.900440262217049e-02    8.374115476090294e-01    5.460769645450479e-01    2.327764430401265e-02
 4.900000000000000e-01    2.618245097774261e+02    1.732519477634274e+02    1.138457189573194e+01   -1.727770389460000e-02   -3.401968442338908e-02    9.992718058762625e-01    5.548991532815399e-01   -8.317069596177699e-01   -1.872065730982083e-02    8.317381863515511e-01    5.541716290055236e-01    3.324748065682250e-02
 5.000000000000000e-01    2.601584459788365e+02    1.755218096468649e+02    1.440159959385771e+01    2.535940112207441e-02    3.945747732546617e-02   -9.988993984667167e-01   -5.624484720128305e-01    8.266281690140570e-01    1.837352775601848e-02    8.264433538391860e-01    5.613634987021378e-01    4.315559314805000e-02
